Category,Chinese Simplified,Hindi,Spanish,Arabic,French,Bengali,Portuguese,Russian,Urdu
Animals,动物,जानवर,Los Animales,الحيوانات,Les Animaux,প্রাণীগুলো,Os Animais,Животные,جانور
Body,身体,शरीर,El Cuerpo,الجسم,Le Corps,শরীরটি,O Corpo,Тело,جسم
City,城市,शहर,La Ciudad,المدينة,La Ville,শহরটি,A Cidade,Город,شہر
Clothes,衣服,कपड़े,La Ropa,الملابس,Les Vêtements,পোশাকগুলো,As Roupas,Одежда,کپڑے
Colours,颜色,रंग,Los Colores,الألوان,Les Couleurs,রঙগুলো,As Cores,Цвета,رنگ
Days & Months,日期和月份,दिन और महीने,Los Días y Meses,الأيام والشهور,Les Jours et les Mois,দিন ও মাসগুলো,Os Dias e os Meses,Дни и месяцы,دن اور مہینے
Drinks,饮料,पेय,Las Bebidas,المشروبات,Les Boissons,পানীয়গুলো,As Bebidas,Напитки,مشروبات
Family,家庭,परिवार,La Familia,العائلة,La Famille,পরিবারটি,A Família,Семья,خاندان
Food,食物,भोजन,La Comida,الطعام,La Nourriture,খাদ্যটি,A Comida,Еда,کھانا
Fruits,水果,फल,Las Frutas,الفواكه,Les Fruits,ফলগুলো,As Frutas,Фрукты,پھل
Furniture,家具,फर्नीचर,Los Muebles,الأثاث,Les Meubles,আসবাবপত্রগুলো,Os Móveis,Мебель,فرنیچر
House,房屋,घर,La Casa,المنزل,La Maison,বাড়িটি,A Casa,Дом,گھر
Numbers,数字,संख्याएँ,Los Números,الأرقام,Les Nombres,সংখ্যাগুলো,Os Números,Числа,نمبر
People,人物,लोग,La Gente,الناس,Les Gens,মানুষগুলো,As Pessoas,Люди,لوگ
Professions,职业,पेशे,Las Profesiones,المهن,Les Professions,পেশাগুলো,As Profissões,Профессии,پیشے
School,学校,स्कूल,La Escuela,المدرسة,L'École,স্কুলটি,A Escola,Школа,اسکول
Sports,运动,खेल,Los Deportes,الرياضة,Les Sports,খেলাধুলাগুলো,Os Esportes,Спорт,کھیل
Tools,工具,उपकरण,Las Herramientas,الأدوات,Les Outils,সরঞ্জামগুলো,As Ferramentas,Инструменты,اوزار
Transportation,交通,परिवहन,El Transporte,المواصلات,Le Transport,পরিবহনটি,O Transporte,Транспорт,نقل و حمل
Vegetables,蔬菜,सब्जियाँ,Las Verduras,الخضروات,Les Légumes,সবজিগুলো,As Verduras,Овощи,سبزیاں
